nodeID,networkCanvasEgoUUID,networkCanvasUUID,name,user_layout_x,user_layout_y,user_layout_screenSpaceX,user_layout_screenSpaceY
1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ZuysvCGddv,AI,0.4940430324225001,0.4412115701540035,948.56,603.49
2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,m3bCphZ8J2,technology,0.4970778258550175,0.5212252088424163,954.39,517.08
3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,vXCsxVu5lG,privacy,0.6086064845000296,0.4399992422950882,1168.52,604.80
4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,KaMS6JqOHq,ethics,0.3855491672100053,0.4812183894982099,740.25,560.28
5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,RtJiUdZJi6,empirical data,0.4978365242131468,0.6618552404765964,955.85,365.20
6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,zfLP4gy4BA,analysis,0.6010195009187362,0.6230607489913054,1153.96,407.09
7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,N7PLUDZOj9,policy,0.3954122458656867,0.7697524199200622,759.19,248.67
8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WGBnkFwIuN,theory,0.5114930946594748,0.2157185883957493,982.07,847.02
9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,FXe1ucLJSr,perspective,0.5661193764447869,0.7758140592146389,1086.95,242.12
10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WAhTMmxJoA,knowledge,0.3650643115405133,0.2678486863291091,700.92,790.72
