nodeID,networkCanvasEgoUUID,networkCanvasUUID,name,user_layout_x,user_layout_y,user_layout_screenSpaceX,user_layout_screenSpaceY
1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ZuysvCGddv,AI,0.5159395080808143,0.3498708127464757,990.60,702.14
2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,zfLP4gy4BA,analysis,0.550377605225781,0.5021757853225148,1056.73,537.65
3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,QUTNIZIDgY,change,0.3893995232225649,0.3658265717782512,747.65,684.91
4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,bihlMPLDwN,community,0.4262402783078781,0.6617333756402701,818.38,365.33
5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,fWLVVobTqz,culture,0.6008334219730577,0.3324645301663569,1153.60,720.94
6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,RtJiUdZJi6,empirical data,0.4999217884785043,0.5703503920946467,959.85,464.02
7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,KaMS6JqOHq,ethics,0.4334482521289176,0.471714790807307,832.22,570.55
8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,jWW9gVNZ5Z,inequality,0.4638819193733067,0.767621594669326,890.65,250.97
9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WZuDbuOSgL,macro-micro,0.5952272201122492,0.5761524862880196,1142.84,457.76
10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WAhTMmxJoA,knowledge,0.5071297622995439,0.4572095553238747,973.69,586.21
11,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,FXe1ucLJSr,perspective,0.526351025822316,0.6646344227369566,1010.59,362.19
12,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WGBnkFwIuN,theory,0.4558730595721517,0.5369883504827524,875.28,500.05
